| ROM    | Address Range   | Size  | Description                     | Notes                      |
| m1.1h  | 0xAB49-0xAB4B   | 3B    | Map 1/D2 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAB4C-0xAB4E   | 3B    | Map 1/D2 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAB4F-0xAB51   | 3B    | Map 1/D2 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAB52-0xAB54   | 3B    | Map 1/D2 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAB55-0xAB55   | 1B    | Map 1/D2 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xAB56-0xAC35   | 224B  | Map 1/D2 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xAC36-0xAC36   | 1B    | Map 1/D2 Separator              | Always 0x00                |
| m1.1h  | 0xAC37-0xAC66   | 48B   | Map 1/D2 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xAC67-0xAC85   | 31B   | Map 1/D2 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xAC86-0xAC87   | 2B    | Map 2/D2 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m1.1h  | 0xAC88-0xAC89   | 2B    | Map 2/D2 Visual Map Pointer     | BIG-ENDIAN, 0x9300         |
| m1.1h  | 0xAC8A-0xAC8A   | 1B    | Map 2/D2 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xAC8B-0xAC8B   | 1B    | Map 2/D2 Time Limit             | Seconds, e.g., 0x5A=90s    |
| m1.1h  | 0xAC8C-0xAC90   | 5B    | Map 2/D2 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xAC91-0xAC93   | 3B    | Map 2/D2 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAC94-0xAC96   | 3B    | Map 2/D2 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAC97-0xAC99   | 3B    | Map 2/D2 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAC9A-0xAC9C   | 3B    | Map 2/D2 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAC9D-0xAC9D   | 1B    | Map 2/D2 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xAC9E-0xAD7D   | 224B  | Map 2/D2 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xAD7E-0xAD7E   | 1B    | Map 2/D2 Separator              | Always 0x00                |
| m1.1h  | 0xAD7F-0xADAE   | 48B   | Map 2/D2 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xADAF-0xADCD   | 31B   | Map 2/D2 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xADCE-0xADCF   | 2B    | Map 3/D2 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xADD0-0xADD1   | 2B    | Map 3/D2 Visual Map Pointer     | BIG-ENDIAN, 0x9600         |
| m1.1h  | 0xADD2-0xADD2   | 1B    | Map 3/D2 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xADD3-0xADD3   | 1B    | Map 3/D2 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m1.1h  | 0xADD4-0xADD8   | 5B    | Map 3/D2 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xADD9-0xADDB   | 3B    | Map 3/D2 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xADDC-0xADDE   | 3B    | Map 3/D2 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xADDF-0xADE1   | 3B    | Map 3/D2 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xADE2-0xADE4   | 3B    | Map 3/D2 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xADE5-0xADE5   | 1B    | Map 3/D2 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xADE6-0xAEC5   | 224B  | Map 3/D2 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xAEC6-0xAEC6   | 1B    | Map 3/D2 Separator              | Always 0x00                |
| m1.1h  | 0xAEC7-0xAEF6   | 48B   | Map 3/D2 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xAEF7-0xAF15   | 31B   | Map 3/D2 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xAF16-0xAF17   | 2B    | Map 4/D2 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m1.1h  | 0xAF18-0xAF19   | 2B    | Map 4/D2 Visual Map Pointer     | BIG-ENDIAN, 0x9900         |
| m1.1h  | 0xAF1A-0xAF1A   | 1B    | Map 4/D2 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xAF1B-0xAF1B   | 1B    | Map 4/D2 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m1.1h  | 0xAF1C-0xAF20   | 5B    | Map 4/D2 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xAF21-0xAF23   | 3B    | Map 4/D2 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAF24-0xAF26   | 3B    | Map 4/D2 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAF27-0xAF29   | 3B    | Map 4/D2 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAF2A-0xAF2C   | 3B    | Map 4/D2 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAF2D-0xAF2D   | 1B    | Map 4/D2 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xAF2E-0xAFFF   | 210B  | Map 4/D2 Items Block            | See M1/D1 For Breakout (P1)|
| m2.2h  | 0xB000-0xB00D   | 14B   | Map 4/D2 Items Block            | See M1/D1 For Breakout (P2)|
| m2.2h  | 0xB00E-0xB00E   | 1B    | Map 4/D2 Separator              | Always 0x00                |
| m2.2h  | 0xB00F-0xB03E   | 48B   | Map 4/D2 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB03F-0xB05D   | 31B   | Map 4/D2 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB05E-0xB05F   | 2B    | Map 1/D3 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB060-0xB061   | 2B    | Map 1/D3 Visual Map Pointer     | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB062-0xB062   | 1B    | Map 1/D3 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB063-0xB063   | 1B    | Map 1/D3 Time Limit             | Seconds, e.g., 0x3C=60s    |
| m2.2h  | 0xB064-0xB068   | 5B    | Map 1/D3 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB069-0xB06B   | 3B    | Map 1/D3 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB06C-0xB06E   | 3B    | Map 1/D3 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB06F-0xB071   | 3B    | Map 1/D3 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB072-0xB074   | 3B    | Map 1/D3 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB075-0xB075   | 1B    | Map 1/D3 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB076-0xB155   | 224B  | Map 1/D3 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB156-0xB156   | 1B    | Map 1/D3 Separator              | Always 0x00                |
| m2.2h  | 0xB157-0xB186   | 48B   | Map 1/D3 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB187-0xB1A5   | 31B   | Map 1/D3 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB1A6-0xB1A7   | 2B    | Map 2/D3 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m2.2h  | 0xB1A8-0xB1A9   | 2B    | Map 2/D3 Visual Map Pointer     | BIG-ENDIAN, 0x9300         |
| m2.2h  | 0xB1AA-0xB1AA   | 1B    | Map 2/D3 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB1AB-0xB1AB   | 1B    | Map 2/D3 Time Limit             | Seconds, e.g., 0x5A=90s    |
| m2.2h  | 0xB1AC-0xB1B0   | 5B    | Map 2/D3 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB1B1-0xB1B3   | 3B    | Map 2/D3 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB1B4-0xB1B6   | 3B    | Map 2/D3 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB1B7-0xB1B9   | 3B    | Map 2/D3 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB1BA-0xB1BC   | 3B    | Map 2/D3 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB1BD-0xB1BD   | 1B    | Map 2/D3 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB1BE-0xB29D   | 224B  | Map 2/D3 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB29E-0xB29E   | 1B    | Map 2/D3 Separator              | Always 0x00                |
| m2.2h  | 0xB29F-0xB2CE   | 48B   | Map 2/D3 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB2CF-0xB2ED   | 31B   | Map 2/D3 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB2EE-0xB2EF   | 2B    | Map 3/D3 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB2F0-0xB2F1   | 2B    | Map 3/D3 Visual Map Pointer     | BIG-ENDIAN, 0x9600         |
| m2.2h  | 0xB2F2-0xB2F2   | 1B    | Map 3/D3 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB2F3-0xB2F3   | 1B    | Map 3/D3 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m2.2h  | 0xB2F4-0xB2F8   | 5B    | Map 3/D3 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB2F9-0xB2FB   | 3B    | Map 3/D3 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB2FC-0xB2FE   | 3B    | Map 3/D3 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB2FF-0xB301   | 3B    | Map 3/D3 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB302-0xB304   | 3B    | Map 3/D3 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB305-0xB305   | 1B    | Map 3/D3 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB306-0xB3E5   | 224B  | Map 3/D3 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB3E6-0xB3E6   | 1B    | Map 3/D3 Separator              | Always 0x00                |
| m2.2h  | 0xB3E7-0xB416   | 48B   | Map 3/D3 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB417-0xB435   | 31B   | Map 3/D3 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB436-0xB437   | 2B    | Map 4/D3 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m2.2h  | 0xB438-0xB439   | 2B    | Map 4/D3 Visual Map Pointer     | BIG-ENDIAN, 0x9900         |
| m2.2h  | 0xB43A-0xB43A   | 1B    | Map 4/D3 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB43B-0xB43B   | 1B    | Map 4/D3 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m2.2h  | 0xB43C-0xB440   | 5B    | Map 4/D3 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB441-0xB443   | 3B    | Map 4/D3 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB444-0xB446   | 3B    | Map 4/D3 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB447-0xB449   | 3B    | Map 4/D3 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB44A-0xB44C   | 3B    | Map 4/D3 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB44D-0xB44D   | 1B    | Map 4/D3 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB44E-0xB52D   | 224B  | Map 4/D3 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB52E-0xB52E   | 1B    | Map 4/D3 Separator              | Always 0x00                |
| m2.2h  | 0xB52F-0xB55E   | 48B   | Map 4/D3 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB55F-0xB57D   | 31B   | Map 4/D3 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB57E-0xB57F   | 2B    | Map 1/D4 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB580-0xB581   | 2B    | Map 1/D4 Visual Map Pointer     | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB582-0xB582   | 1B    | Map 1/D4 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB583-0xB583   | 1B    | Map 1/D4 Time Limit             | Seconds, e.g., 0x3C=60s    |
| m2.2h  | 0xB584-0xB588   | 5B    | Map 1/D4 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB589-0xB58B   | 3B    | Map 1/D4 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB58C-0xB58E   | 3B    | Map 1/D4 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB58F-0xB591   | 3B    | Map 1/D4 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB592-0xB594   | 3B    | Map 1/D4 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB595-0xB595   | 1B    | Map 1/D4 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB596-0xB675   | 224B  | Map 1/D4 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB676-0xB676   | 1B    | Map 1/D4 Separator              | Always 0x00                |
| m2.2h  | 0xB677-0xB6A6   | 48B   | Map 1/D4 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB6A7-0xB6C5   | 31B   | Map 1/D4 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB6C6-0xB6C7   | 2B    | Map 2/D4 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m2.2h  | 0xB6C8-0xB6C9   | 2B    | Map 2/D4 Visual Map Pointer     | BIG-ENDIAN, 0x9300         |
| m2.2h  | 0xB6CA-0xB6CA   | 1B    | Map 2/D4 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB6CB-0xB6CB   | 1B    | Map 2/D4 Time Limit             | Seconds, e.g., 0x5A=90s    |
| m2.2h  | 0xB6CC-0xB6D0   | 5B    | Map 2/D4 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB6D1-0xB6D3   | 3B    | Map 2/D4 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB6D4-0xB6D6   | 3B    | Map 2/D4 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB6D7-0xB6D9   | 3B    | Map 2/D4 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB6DA-0xB6DC   | 3B    | Map 2/D4 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB6DD-0xB6DD   | 1B    | Map 2/D4 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB6DE-0xB7BD   | 224B  | Map 2/D4 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB7BE-0xB7BE   | 1B    | Map 2/D4 Separator              | Always 0x00                |
| m2.2h  | 0xB7BF-0xB7EE   | 48B   | Map 2/D4 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB7EF-0xB80D   | 31B   | Map 2/D4 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB80E-0xB80F   | 2B    | Map 3/D4 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m2.2h  | 0xB810-0xB811   | 2B    | Map 3/D4 Visual Map Pointer     | BIG-ENDIAN, 0x9600         |
| m2.2h  | 0xB812-0xB812   | 1B    | Map 3/D4 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB813-0xB813   | 1B    | Map 3/D4 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m2.2h  | 0xB814-0xB818   | 5B    | Map 3/D4 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB819-0xB81B   | 3B    | Map 3/D4 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB81C-0xB81E   | 3B    | Map 3/D4 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB81F-0xB821   | 3B    | Map 3/D4 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB822-0xB824   | 3B    | Map 3/D4 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB825-0xB825   | 1B    | Map 3/D4 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB826-0xB905   | 224B  | Map 3/D4 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xB906-0xB906   | 1B    | Map 3/D4 Separator              | Always 0x00                |
| m2.2h  | 0xB907-0xB936   | 48B   | Map 3/D4 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xB937-0xB955   | 31B   | Map 3/D4 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xB956-0xB957   | 2B    | Map 4/D4 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m2.2h  | 0xB958-0xB959   | 2B    | Map 4/D4 Visual Map Pointer     | BIG-ENDIAN, 0x9900         |
| m2.2h  | 0xB95A-0xB95A   | 1B    | Map 4/D4 Enemy Spawn Rate       | 0x05-0x08 range            |
| m2.2h  | 0xB95B-0xB95B   | 1B    | Map 4/D4 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m2.2h  | 0xB95C-0xB960   | 5B    | Map 4/D4 Unknown Data           | Unknown purpose            |
| m2.2h  | 0xB961-0xB963   | 3B    | Map 4/D4 Player Start           | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB964-0xB966   | 3B    | Map 4/D4 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB967-0xB969   | 3B    | Map 4/D4 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB96A-0xB96C   | 3B    | Map 4/D4 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m2.2h  | 0xB96D-0xB96D   | 1B    | Map 4/D4 Map Width              | (Value + 0x01) Screens     |
| m2.2h  | 0xB96E-0xBA4D   | 224B  | Map 4/D4 Items Block            | See M1/D1 For Breakout     |
| m2.2h  | 0xBA4E-0xBA4E   | 1B    | Map 4/D4 Separator              | Always 0x00                |
| m2.2h  | 0xBA4F-0xBA7E   | 48B   | Map 4/D4 Teleports Block        | See M1/D1 For Breakout     |
| m2.2h  | 0xBA7F-0xBA9D   | 31B   | Map 4/D4 Spawners Block         | See M1/D1 For Breakout     |
| m2.2h  | 0xBA9E-0xBCF6   | 601B  | Unknown (Code/Data)             | Unknown                    |
| m2.2h  | 0xBCF7-0xBD05   | 15B   | Player Animation - Walk Down    | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD06-0xBD14   | 15B   | Player Animation - Walk Right   | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD15-0xBD23   | 15B   | Player Animation - Walk Left    | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD24-0xBD32   | 15B   | Player Animation - Up    + Key  | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD33-0xBD41   | 15B   | Player Animation - Down  + Key  | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD42-0xBD50   | 15B   | Player Animation - Right + Key  | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD51-0xBD5F   | 15B   | Player Animation - Left  + Key  | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD60-0xBD6E   | 15B   | Poison Animation - Unused       | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBD6F-0xBDA7   | 57B   | Unknown (Code/Data)             | Unknown                    |
| m2.2h  | 0xBDA8-0xBDA9   | 2B    | Unknown Pointer                 | BD B2                      |
| m2.2h  | 0xBDAA-0xBDAB   | 2B    | Unknown Pointer                 | BE 02                      |
| m2.2h  | 0xBDAC-0xBDAD   | 2B    | Unknown Pointer                 | BE 52                      |
| m2.2h  | 0xBDAE-0xBDAF   | 2B    | Unknown Pointer                 | BE A9                      |
| m2.2h  | 0xBDB0-0xBDB1   | 2B    | Unknown Pointer                 | BE A9                      |
| m2.2h  | 0xBDB2-0xBE01   | 80B   | Unknown Data                    | Unknown                    |
| m2.2h  | 0xBE02-0xBE51   | 80B   | Unknown Data                    | Unknown                    |
| m2.2h  | 0xBE52-0xBEA8   | 87B   | Unknown Data                    | Unknown                    |
| m2.2h  | 0xBEA9-0xBEA9   | 1B    | Unknown Data                    | Unknown                    |
| m2.2h  | 0xBEAA-0xBEB8   | 15B   | Player Animation - Walk Up      | 6 Tiles, 1 Frame per Tile  |
| m2.2h  | 0xBEB9-0xBFFF   | 327B  | Unknown (Code/Data)             | Unknown                    |
| 3j.3h  | 0xC000-0xC107   | 264B  | Unknown (Code/Data)             | Unknown                    |
| 3j.3h  | 0xC108-0xC112   | 11B   | Enemy Animation - Snake Left    | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC113-0xC11D   | 11B   | Enemy Animation - Snake Right   | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC11E-0xC128   | 11B   | Enemy Animation - Vulture Right | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC129-0xC133   | 11B   | Enemy Animation - Vulture Left  | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC134-0xC144   | 17B   | Enemy Animation - Bat           | 7 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC145-0xC14F   | 11B   | Enemy Animation - Dragon Left   | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC150-0xC15A   | 11B   | Enemy Animation - Dragon Right  | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC15B-0xC165   | 11B   | Enemy Animation - Gryphon Right | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC166-0xC170   | 11B   | Enemy Animation - Gryphon Left  | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC171-0xC17B   | 11B   | Enemy Animation - Glaive        | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC17C-0xC18A   | 15B   | Enemy Animation - Poof Cloud    | 6 Tiles, 3 Frame per Tile  |
| 3j.3h  | 0xC18B-0xC195   | 11B   | Enemy Animation - Snake Left    | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC196-0xC1A0   | 11B   | Enemy Animation - Snake Right   | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1A1-0xC1A7   | 7B    | Enemy Animation - Explosion 1   | 2 Tiles, 2 Frame per Tile  |
| 3j.3h  | 0xC1A8-0xC1BA   | 19B   | Enemy Animation - Explosion 2   | 8 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1BB-0xC1C5   | 11B   | Enemy Animation - Vulture Right | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1C6-0xC1D0   | 11B   | Enemy Animation - Vulture Left  | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1D1-0xC1E1   | 17B   | Enemy Animation - Bat           | 7 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1E2-0xC1F2   | 17B   | Enemy Animation - Bat           | 7 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1F3-0xC1FD   | 11B   | Enemy Animation - Snake Right   | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC1FE-0xC208   | 11B   | Enemy Animation - Snake Left    | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC209-0xC213   | 11B   | Player Animation - Walk Right   | 4 Tiles, 1 Frame per Tile  |
| 3j.3h  | 0xC214-0xC222   | 15B   | Unused Animation                | 6 Tiles, 2 Frame per Tile  |
| 3j.3h  | 0xC223-0xC8ED   | 1739B | Unknown (Code/Data)             | Unknown                    |
| 3j.3h  | 0xC8EE-0xC8EE   | 1B    | Reference Table                 | Unknown purpose            |
| 3j.3h  | 0xC8EF-0xCE24   | 1658B | Unknown (Code/Data)             | Unknown                    |
| 3j.3h  | 0xCE25-0xCE26   | 2B    | Copyright Checksum              | Konami: 14A3 / Stern: 1A4C |
| 3j.3h  | 0xCE27-0xCFFF   | 217B  | Unknown (Code/Data)             | Unknown                    |
| m4.4h  | 0xD000-0xD788   | 1928B | Unknown (Code/Data)             | Unknown                    |
| m4.4h  | 0xD789-0xD7B8   | 48B   | Monster Point Values Array      | (Address - 3 Bytes)        |
| m4.4h  | 0xD7B9-0xD7BB   | 3B    | Snake Kill Value                | 00 00 20  (  20 Points)    |
| m4.4h  | 0xD7BC-0xD7BE   | 3B    | Vulture Kill Value              | 00 00 40  (  40 Points)    |
| m4.4h  | 0xD7BF-0xD7C1   | 3B    | Bat Kill Value                  | 00 00 60  (  60 Points)    |
| m4.4h  | 0xD7C2-0xD7C4   | 3B    | Value 04                        | 00 00 40                   |
| m4.4h  | 0xD7C5-0xD7C7   | 3B    | Value 05                        | 00 00 50                   |
| m4.4h  | 0xD7C8-0xD7CA   | 3B    | Value 06                        | 00 01 00                   |
| m4.4h  | 0xD7CB-0xD7CD   | 3B    | Value 07                        | 00 02 00                   |
| m4.4h  | 0xD7CE-0xD7D0   | 3B    | Key Pickup Value                | 00 05 00  ( 500 Points)    |
| m4.4h  | 0xD7D1-0xD7D3   | 3B    | Value 09                        | 00 04 00                   |
| m4.4h  | 0xD7D4-0xD7D6   | 3B    | Unlock Keyhole                  | 00 10 00                   |
| m4.4h  | 0xD7D7-0xD7D9   | 3B    | First Treasure Pickup Value     | 00 05 00  ( 500 Points)    |
| m4.4h  | 0xD7DA-0xD7DC   | 3B    | Second Treasure Pickup Value    | 00 10 00  (1000 Points)    |
| m4.4h  | 0xD7DD-0xD7DF   | 3B    | Third Treasure Pickup Value     | 00 15 00  (1500 Points)    |
| m4.4h  | 0xD7E0-0xD7E2   | 3B    | Fourth Treasure Pickup Value    | 00 20 00  (2000 Points)    |
| m4.4h  | 0xD7E3-0xD7E5   | 3B    | Fifth Treasure Pickup Value     | 00 30 00  (3000 Points)    |
| m4.4h  | 0xD7E6-0xD7E8   | 3B    | Sixth Treasure Pickup Value     | 00 40 00  (4000 Points)    |
| m4.4h  | 0xD7E9-0xD7EB   | 3B    | Value 17                        | 00 40 00                   |
| m4.4h  | 0xD7EC-0xD7EE   | 3B    | Value 18                        | 00 50 00                   |
| m4.4h  | 0xD7EF-0xD7F1   | 3B    | Value 19                        | 00 60 00                   |
| m4.4h  | 0xD7F2-0xD7F4   | 3B    | Value 20                        | 00 70 00                   |
| m4.4h  | 0xD7F5-0xD7F7   | 3B    | Value 21                        | 00 80 00                   |
